Match Score,Product ID,Old Slug,New Slug,Old Name,Current Name,Old URL
80,1045,"beef-pizza","?post_type=product&p=1045","Beef Pizza - Royal Sweets & Restaurant","Beef Pizza","https://www.royalbr.se/product/beef-pizza/"
80,1084,"barfi-best-of-royal-sweets","?post_type=product&p=1084","Barfi | Best of Royal Sweets - Royal Sweets & Restaurant","Barfi | Best of Royal Sweets","https://www.royalbr.se/product/barfi-best-of-royal-sweets/"
80,1021,"catering-party-hall-deal-3","?post_type=product&p=1021","""Catering & Party hall Deal 3 (fr. 260 kr/person) | 30 GÃ¤ster - Royal Sweets","Catering & Party hall Deal 3 (fr. 260 kr/person) | 30 Gäster","https://www.royalbr.se/product/catering-party-hall-deal-3/"
80,835,"ras-malai-best-ras-malai-in-stockholm","?post_type=product&p=835","Ras Malai | Best Ras Malai In Stockholm - Royal Sweets & Restaurant","Ras Malai | Best Ras Malai In Stockholm","https://www.royalbr.se/product/ras-malai-best-ras-malai-in-stockholm/"
80,1032,"lahori-shawarma-with-drink","?post_type=product&p=1032","Lahori Shawarma with Drink - Royal Sweets & Restaurant","Lahori Shawarma with Drink","https://www.royalbr.se/product/lahori-shawarma-with-drink/"
80,1100,"besan-patisa-premium-sweets-of-stockholm","?post_type=product&p=1100","Besan Patisa Premium Sweets of Stockholm - Royal Sweets & Restaurant","Besan Patisa Premium Sweets of Stockholm","https://www.royalbr.se/product/besan-patisa-premium-sweets-of-stockholm/"
80,1017,"party-deal-3","?post_type=product&p=1017","""Party Deal 3 | Grand Indo-Pakistani Banquet Menu for 24 People - Royal","Party Deal 3 |   Grand Indo-Pakistani Banquet Menu for 24 People","https://www.royalbr.se/product/party-deal-3/"
80,913,"chicken-jalfrezi-best-jalfrezi-in-stockholm","?post_type=product&p=913","Chicken Jalfrezi | Best Jalfrezi in Stockholm - Royal Sweets & Restaurant","Chicken Jalfrezi | Best Jalfrezi in Stockholm","https://www.royalbr.se/product/chicken-jalfrezi-best-jalfrezi-in-stockholm/"
80,1037,"chips-fries","?post_type=product&p=1037","Crispy Golden Chips (French Fries) - Royal Sweets & Restaurant","Crispy Golden Chips (French Fries)","https://www.royalbr.se/product/chips-fries/"
80,917,"beef-jalfrezi","?post_type=product&p=917","Beef jalfrezi - Royal Sweets & Restaurant","Beef jalfrezi","https://www.royalbr.se/product/beef-jalfrezi/"
80,1064,"royal-kheer-creamy-cardamom-rice-pudding","?post_type=product&p=1064","Royal Kheer - Creamy Cardamom Rice Pudding - Royal Sweets & Restaurant","Royal Kheer - Creamy Cardamom Rice Pudding","https://www.royalbr.se/product/royal-kheer-creamy-cardamom-rice-pudding/"
80,944,"lamm-nehari-most-famous-nihari-in-town","?post_type=product&p=944","Lamm Nehari | Most Famous Nihari in Town - Royal Sweets & Restaurant","Lamm Nehari | Most Famous Nihari in Town","https://www.royalbr.se/product/lamm-nehari-most-famous-nihari-in-town/"
80,941,"keema-naan-best-mince-meat-nan-bread-in-stockholm","?post_type=product&p=941","""Keema Naan | Best Mince Meat Nan Bread in Stockholm - Royal Sweets &","Keema Naan | Best Mince Meat Nan Bread in Stockholm","https://www.royalbr.se/product/keema-naan-best-mince-meat-nan-bread-in-stockholm/"
80,1034,"kids-meal","?post_type=product&p=1034","Kids Chicken Nuggets & Chips Meal - Royal Sweets & Restaurant","Kids Chicken Nuggets & Chips Meal","https://www.royalbr.se/product/kids-meal/"
80,1015,"party-deal-1","?post_type=product&p=1015","""Party Deal 1 | Indo-Pakistani Party Deal for 8 People - Royal Sweets &","Party Deal 1 | Indo-Pakistani Party Deal for 8 People","https://www.royalbr.se/product/party-deal-1/"
